stableRowId,canonicalRelationshipId,sourceEvidence,sourceSha256,sourceAssetKind,role,ownerKind,ownerMigrationKey,currentAutomatedClassification,proposedDecision,privacyStatus,reviewStatus,auditFingerprint,ownerDecision,ownerNotes,reviewer,reviewedAt,evidenceChecked,followUpAction,resolutionStatus,uatRelevance,cutoverBlocker
"p14-owner-ebfb402d2772a9a65cd1b8ee","wix:asset:wix:activity:g23od:62e51349013fa3c74968","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","12ea46d732d3f43db02e536ce06124d6cc7343a50a79493b88d9caa20a0c05a7","image","gallery","activity","wix:activity:g23od","requires-owner-review","manual-review-required","private-draft","requires-owner-review","5604da6375e2bf014e04d670a2c65515a1ffa1370b30d0226fa8de6d17e4f3a4","","","","","","","","",""
"p14-owner-eed981166b8ed44cecbb5387","wix:asset:wix:activity:mqpxs:d4cab5342d8375e03700","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","845141185e162b61196c50f68f7b5c92f8459d50b213f21bba2c6ea824c2fa03","image","gallery","activity","wix:activity:mqpxs","requires-owner-review","manual-review-required","private-draft","requires-owner-review","1616d4a3e049be01ba8486822cbdef69a6475ca1dcbfe43756281e624c301ede","","","","","","","","",""
"p14-owner-eee730bee816f8a01dc27db3","wix:asset:wix:activity:ncu3n:f4e043d849696b663be8","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","af30b655ab3b2b6ac96500cfbd618ba43aa3f13af63093146834453a7a95d903","image","gallery","activity","wix:activity:ncu3n","requires-owner-review","manual-review-required","private-draft","requires-owner-review","c7ce24487e8d107934f07e07ee0c60e60edf2cf0a2cacf9c9a0581c6a017b3a5","","","","","","","","",""
"p14-owner-ef511afc8b2b85c5f42a8d43","source-only:wix:asset-source:ae79fdd206f89ecc1026a4d7bf12f1b83115349cf3090e8fcd4e0fd4c7e5d35e","[""migration/phase9/source-inventory.jsonl""]","ae79fdd206f89ecc1026a4d7bf12f1b83115349cf3090e8fcd4e0fd4c7e5d35e","image","unknown","unresolved","","accepted_skip","manual-review-required","public-source","requires-owner-review","f6d2afae101166ac0cdaac1f2e6f99fe5ab728ab6609a8e47108584ebd1013a4","","","","","","","","",""
"p14-owner-f0d795ba924b4c0f8d147f63","wix:asset:wix:activity:y2p9y:40a5ddd00aea74356923","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","20a279c5be8e6a511a2034051ce9427ba5a745278f01bf3da4dcfa59f680c4c6","document","attachment","activity","wix:activity:y2p9y","requires-owner-review","manual-review-required","private-draft","requires-owner-review","7ddbc9e51209e97bb108e0036a9ff8a148eb026f642351808f78cbcaa60d900a","","","","","","","","",""
"p14-owner-f1365ae03582e36c5ace0c52","wix:asset:wix:activity:jd4jc:30c14b11c24aab0a9b4c","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","9acac2663651c08686c519e4ca9e9cb84caea8237d25c733eef8ff29a0d35728","image","gallery","activity","wix:activity:jd4jc","requires-owner-review","manual-review-required","private-draft","requires-owner-review","4cb1d3425f47936e12eca2a8b5386953b5433af15a7a7446d93f2976ef0ca047","","","","","","","","",""
"p14-owner-f18db294bb2e36fc4f01ee25","wix:asset:wix:activity:sr7vx:30619e4f6ea233cd6ee4","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","3130cc231638d2482d9205f0d152fccd3ad48d663f2d4af1de919d5fb998ce2d","image","gallery","activity","wix:activity:sr7vx","requires-owner-review","manual-review-required","private-draft","requires-owner-review","1168d82c872dcaaa6574eb7f472ba9106406f59abedfc102e3215f14d3b74b3f","","","","","","","","",""
"p14-owner-f20ade8a6e1cb5239a3676da","wix:asset:wix:activity:fu3bz:ee1f506b847e8c4bc4cb","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","a5b33ea0908a32c095fe24e436f317b27bcd9ee32fcfeacd51d2dbe9afc24e9c","image","cover","activity","wix:activity:fu3bz","requires-owner-review","manual-review-required","private-draft","requires-owner-review","ab82c6c62c07c4fcb0b07c6f368f71ce690ec6b6b9ff746d26bb27a9b5615360","","","","","","","","",""
"p14-owner-f263a2f75fb3fdf277db915d","wix:asset:wix:activity:o3j0h:4aa4c716d39c7920c23e","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","8e8626323c9c9e14f6101e530200cb8c37e09b5eda98c5dd07c4dcfc5005c945","image","gallery","activity","wix:activity:o3j0h","requires-owner-review","manual-review-required","private-draft","requires-owner-review","0769883742f4d36dc5e32b9f65ebd03c55faf5b8407179b4a7267d4e96bbd96f","","","","","","","","",""
"p14-owner-f3744399d04ec1fe0187b49a","source-only:wix:asset-source:fb9f0998f0ed71561785d45d85f929bf84764110e87cf142886dfd6644b9387b","[""migration/phase9/source-inventory.jsonl""]","fb9f0998f0ed71561785d45d85f929bf84764110e87cf142886dfd6644b9387b","image","unknown","unresolved","","accepted_skip","manual-review-required","public-source","requires-owner-review","f9751b24abf298132441a04d77c5789f1b5e7c81d345b20f0440d4a8b8bb79cf","","","","","","","","",""
"p14-owner-f3992587f2978e417719c1d6","wix:asset:wix:activity:jd4jc:75c1bc496aefcce27382","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","ad206e20aa3911887475840a6c8d715a08a33792748154935997d574d8e4971e","document","attachment","activity","wix:activity:jd4jc","requires-owner-review","manual-review-required","private-draft","requires-owner-review","9232eba0fcb8060add34ae144e51964b1ca52d34c5697da5fccf48af71ff42c9","","","","","","","","",""
"p14-owner-f3b6cb5b3486ef0790dc85f7","wix:asset:wix:activity:shxze:6de7b143f52e85d49d38","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","91aeeb213f9a0e88da3b4aa441efe6d84b3f29211880974660ded53346d2b728","image","cover","activity","wix:activity:shxze","requires-owner-review","manual-review-required","private-draft","requires-owner-review","16a03e60068d4b5e871274d33513bf7fe789393655bd72fa4c998f0abdcb9892","","","","","","","","",""
"p14-owner-f4e9550dcc68d5f45f7d42d3","wix:asset:wix:activity:xhbeh:79062af9fbaaa72a9b92","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","d0659f030e4b5a6da3e198619e53cf6f7d698bce9c3b1c6070e272cde4eeb9ca","document","attachment","activity","wix:activity:xhbeh","requires-owner-review","manual-review-required","private-draft","requires-owner-review","83a41b6aa2aea27a69246e6ec73680c46b2e6499978baaf7df7fc5d008fbfb98","","","","","","","","",""
"p14-owner-f5d33c0dbd044d74b1271602","wix:asset:wix:activity:wquq1:06759be1d573cbc4bfde","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","a17e93985ace5678beed506e3e40c804e2239f654c1e29703a2a48bc5822f73b","document","attachment","activity","wix:activity:wquq1","requires-owner-review","manual-review-required","private-draft","requires-owner-review","cacbce2fd3460f2db211f6f041365f9b3ac0adfe876a5a3933c3b53f8e9fd8f5","","","","","","","","",""
"p14-owner-f5eb3594c27c965c8c5155a4","source-only:wix:asset-source:a24c32f42657cd51043f5fdce17d56026d1ddf0ff960566c84d762021709ac44","[""migration/phase9/source-inventory.jsonl""]","a24c32f42657cd51043f5fdce17d56026d1ddf0ff960566c84d762021709ac44","image","unknown","unresolved","","accepted_skip","manual-review-required","public-source","requires-owner-review","aa5f0316c8535e38bb9668b1e819137bfe4d2cae504d026895a44172202038c5","","","","","","","","",""
"p14-owner-f61c288a7c81953d49dfd050","wix:asset:wix:activity:syp73:0de7014a3e93f0149dc6","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","717e42e464f06405a23aab6ba076e622dfb9aaa66d65dfc4c812125a12e3faf3","image","gallery","activity","wix:activity:syp73","requires-owner-review","manual-review-required","private-draft","requires-owner-review","9d68efedaddcad8f2bafd259bf31019c97e6c3cbd57609159dca227b90948e83","","","","","","","","",""
"p14-owner-f6d5e129e5b2046636757c8c","wix:asset:wix:activity:yq45v:b120d75eb82c1ba65dfe","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","381b3513ec9dc70dedc8f404afef126e8de1655d14747a28bdc59716ac96c38d","document","attachment","activity","wix:activity:yq45v","requires-owner-review","manual-review-required","private-draft","requires-owner-review","072810c381782600e8875530ed651db43ed9c58307333778aaa5003dd241b308","","","","","","","","",""
"p14-owner-f72a2a02e4d9417818dd7030","wix:asset:wix:activity:gqhoh:82341c3bb315ccfc3782","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","7134be5a044275560e07b450e009ac80f6356f527902e5d31ec6ff2f8eb4c125","document","attachment","activity","wix:activity:gqhoh","requires-owner-review","manual-review-required","private-draft","requires-owner-review","41aef64e92e45f371c79c8e7fd4771d65570d6425463a70a21b6b9fab04b741c","","","","","","","","",""
"p14-owner-f745720bddf3a054d7eee3ca","wix:asset:wix:file:30190e56aab62c7f108079d1:30190e56aab62c7f1080","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","30190e56aab62c7f108079d11b3e28be1f075544a299b4499616ef2749a918d3","document","download","file","wix:file:30190e56aab62c7f108079d1","requires-owner-review","manual-review-required","private-draft","requires-owner-review","b00c009228d6f7cd3655cb964a1cebb05c4bc2c2165c1fc3aa263f5018e4ff46","","","","","","","","",""
"p14-owner-f74932f2b4558179a865fc2e","wix:asset:wix:activity:lb7xk:9deda171580f5a164b85","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","bad209f054b9f848aaa2adbeb7b4184546efcd3bcc1488dc0ddc3bb23d98c10c","image","cover","activity","wix:activity:lb7xk","requires-owner-review","manual-review-required","private-draft","requires-owner-review","17edf63e6038f6bf051acf4cd851bb87dcab76d86cb3b9925bfd044ea01cff96","","","","","","","","",""
